;edit_history_tweet_ids;id;text;intent
0;['1625645074263740421'];1625645074263740416;DHS tapped left-leaning firm for potential Mayorkas impeachment efforts over southern border crisis https://t.co/M9tKtQ0seg  - @politic_talks #Politics #Political;politic
1;['1625644710084677632'];1625644710084677632;@KaCurrie_45 I'm new to the politic world so could you help me in telling me why he is not good?😁 thank you;politic
2;['1625644520623771648'];1625644520623771648;RT @bruce_luske: @robreiner Amen with a heavy heart as Trump is still free playing golf while constantly injecting hateful, false and divis…;politic
3;['1625644050496819200'];1625644050496819200;"RT @BlowUpRadio: Tonight @ 7pm ET on Lazlo's Den Presents New Music

@weshannamusic 
@My_Politic
@beck 
@WigWam_Official
@VioletSaturn555…";politic
4;['1625642744956829696'];1625642744956829696;@MikeLevinite @LI_politic_guy @ElectMikeGarcia come at me;politic
5;['1625642696474861568'];1625642696474861568;"@LI_politic_guy @McClainFanMI @BVDstan_ Commie you commented on my section of the thread to give a fuck. Go fucking listen to Bernie giving you free college and healthcare socialism and believing everything you are fed before you get a real job and understanding this shit doesn’t work.
Sit down junior";politic
6;['1625642691626430464'];1625642691626430464;@Deepayn98386355 Nonsense. Many more under robodebt. And how many deaths in Iraq that Howard went to war because he lied. Destroyed a country. You lot use the tragedy at sea as a politic attack but forget your own sides failings. Even Howard felt embarrassed because of the Wof MD lie.;politic
7;['1625642550005583872'];1625642550005583872;"@sxtreme01 @realDailyWire @MattWalshBlog Matt speaks exactly like it is. Men and women with the maturity to see truth in what is happening in our culture &amp; body politic know this message.  Matt was calling out reality to all those who have lost their way.  It will take all of us to speak out to reground us to reality.";politic
8;['1625642081384382470'];1625642081384382464;@LI_politic_guy @McClainFanMI @BVDstan_ Lol you’re a commie sit down junior;politic
9;['1625642076351385600'];1625642076351385600;Politic (feat. Munnie);politic
10;['1625641678861385728'];1625641678861385728;Karine Jean-Pierre calls Biden ‘best communicator’ in White House https://t.co/tmeJfk4afW  - @politic_talks #Politics #Political;politic
11;['1625641645298294784'];1625641645298294784;@LI_politic_guy The pic is literally from Houston 💀💀💀;politic
12;['1625641562045665287'];1625641562045665280;@LI_politic_guy @McClainFanMI @BVDstan_ Retard;politic
13;['1625641538590998528'];1625641538590998528;@LI_politic_guy V@lentine's day is D0A;politic
14;['1625641459365089280'];1625641459365089280;“There comes a time when one must take a position that is neither safe, nor politic, nor popular, but he must take it because conscience tells him it is right.” –Martin Luther King Jr.;politic
15;['1625641436417859584'];1625641436417859584;"@LI_politic_guy @McClainFanMI @BVDstan_ Lmao I actually live in Tarrant you dumb f**k.
I got Tarrant’s margin spot on this year in the governors race and predicted Abbott’s margin statewide";politic
16;['1625641050223124481'];1625641050223124480;RT @finess3nce: love as a feeling, love as an action, love and care as a politic i mean whew. mm!! lay it on me!;politic
17;['1625640530846666755'];1625640530846666752;@LI_politic_guy You are 9/11 reborn;politic
18;['1625640231943766018'];1625640231943766016;@Watford_Politic @WatfordFC @SkyBetChamp To be fair it's a really good draw on paper but it's just the manner of it. Sort of feels like a loss.;politic
19;['1625640046501195776'];1625640046501195776;Vermont advances bill allowing assisted suicide for noncitizens https://t.co/LEsTxzmd0a  - @politic_talks #Politics #Political;politic
20;['1625639910022725632'];1625639910022725632;@LI_politic_guy Valentine's day is DOA;politic
21;['1625639843547021312'];1625639843547021312;@dicko_paul If the same players are all fit and no Wilson I’d personally go stevens worrall (rwb) Forrester smith Donnelly (or benning) Massey (lwb) garrity ojo politic then 2 of proctor Harrison and Taylor depending on fitness;politic
22;['1625639346085953537'];1625639346085953536;"@BillAckman This kind of absurd cynicism, which of course cannot even be rebutted, is disheartening/sickening.

Ackman is doing nothing for the body politic here.

It's only grade-C shitposting, as well.";politic
23;['1625638786179932160'];1625638786179932160;Chelsea Handler Is The Saddest Woman In The World https://t.co/QImMn9PYWt  - @politic_talks;politic
24;['1625638589282361346'];1625638589282361344;@LI_politic_guy Loser take, my successor is actually very funny;politic
25;['1625638164303065088'];1625638164303065088;West Virginia bill aimed at enhancing education for students advances in Senate https://t.co/wxeg6eIkou  - @politic_talks #Politics #Political;politic
26;['1625638156493295616'];1625638156493295616;Texas Rep. Dan Crenshaw gives insight into White House briefing to Congress on unidentified objects shot down https://t.co/Nhan7eqV8E  - @politic_talks #Politics #Political;politic
27;['1625637525363589121'];1625637525363589120;@LI_politic_guy Then there are rules on the books, like the Jones Act, which are simply ridiculous. Currrent environmental review standard make building infrastructure in the US more expensive than almost anywhere in the world.;politic
28;['1625637058302681090'];1625637058302681088;@LI_politic_guy Lots of things the government has erected substantial barriers to building mixed-use development and multi-family housing, has made permitting a huge pain, and restricted the supply of laborers in many sectors with excessive licensing requirements.;politic
29;['1625636936499994624'];1625636936499994624;hurt there no place in politic that this tupe of behavior should be tolerated .Does heckling help — or hurt — the GOP? https://t.co/m1Cajls1aF;politic
30;['1625636771072733186'];1625636771072733184;RT @KylieMareeKJMX: The GC political project is not longer critical of trans ideology. The label has been co-opted and weaponised by the ri…;politic
31;['1625636062792916992'];1625636062792916992;@politico Why would someone identify as a different ethnicity for political gain? No such examples exist in our body politic https://t.co/eDdrANgOqu;politic
32;['1625635953434935300'];1625635953434935296;Identity politic asshole she is! https://t.co/aE0ti3Bvkc;politic
33;['1625635940952596492'];1625635940952596480;"RT @segalink: The Woke Mob that hijacked the campaign won’t let go of it until they’ve ruined his chances &amp; destroyed his political career.…";politic
34;['1625635576312651776'];1625635576312651776;RT @PeterCorless: This man is horrific. The fact that millions voted for him shows him to be a mere symptom of a metastasized cancer in our…;politic
35;['1625635515633397765'];1625635515633397760;@AltCountryShow @My_Politic @estherrose @KassiValazza @PerpetualDoom @4BitsRecords @DillonWarnek @madidiaz @field_guides @Fruit_Bats Gotta check out;politic
36;['1625635485103038466'];1625635485103038464;@Lilian_Gffoy We all europeans must to be together, united, to achive better future for all. At this moment se assist a fight against european civilization in all forms: in culture, um politic,  in our diversity, democracy  nations and in our relationship with the rest  of the world.;politic
37;['1625635481739309056'];1625635481739309056;RT @AltCountryShow: @theferdymayne @My_Politic @estherrose @KassiValazza @PerpetualDoom @4BitsRecords @DillonWarnek @madidiaz @field_guides…;politic
38;['1625635458116997122'];1625635458116997120;RT @theferdymayne: @AltCountryShow @My_Politic @estherrose @KassiValazza @PerpetualDoom @4BitsRecords @DillonWarnek @madidiaz @field_guides…;politic
39;['1625635440677081089'];1625635440677081088;"RT @AltCountryShow: Latest playlist edition of The Alt-Country Show is up! ✨

Feat. tunes from: @My_Politic, @estherrose, @KassiValazza, Au…";politic
40;['1625634816887513090'];1625634816887513088;"@LI_politic_guy I see

That kind of character is very common were I live. They’re a detriment to society.";politic
41;['1625634633176973312'];1625634633176973312;@theferdymayne @My_Politic @estherrose @KassiValazza @PerpetualDoom @4BitsRecords @DillonWarnek @madidiaz @field_guides @Fruit_Bats That whole album is incredible!;politic
42;['1625634503162208256'];1625634503162208256;Nominee who called Biden a ‘senile gaffe machine’ withdrawn by State Department https://t.co/iFchZdSQWo  - @politic_talks #Politics #Political;politic
43;['1625634499269693443'];1625634499269693440;RT @thecrimsongrot: British people of a certain age just seem to have an instinctual twee fascist politics, meaning they either think immig…;politic
44;['1625634221996879883'];1625634221996879872;"RT @segalink: The Woke Mob that hijacked the campaign won’t let go of it until they’ve ruined his chances &amp; destroyed his political career.…";politic
45;['1625634194754863105'];1625634194754863104;@LI_politic_guy Does he listen to Country and wear pit vipers by any chance?;politic
46;['1625633868777771010'];1625633868777771008;@AltCountryShow @My_Politic @estherrose @KassiValazza @PerpetualDoom @4BitsRecords @DillonWarnek @madidiaz @field_guides @Fruit_Bats Also big ups on that austin leonard Cohen add, #legendslive;politic
47;['1625633324613107713'];1625633324613107712;@revmagdalen While I agree that big money has poisoned our body politic, I assure you there exists in America an abundance of cynical, greedy, and foolish young people.;politic
48;['1625633290777661441'];1625633290777661440;RT @finess3nce: love as a feeling, love as an action, love and care as a politic i mean whew. mm!! lay it on me!;politic
49;['1625632924795039744'];1625632924795039744;"@SalahuddinBabs @day4uShipuudeen @mmabdullahijnr @Sahaabah01 @AishaYesufu If you go through her lifestyle, you will clearly see she's doing many good deeds meanwhile you're just here to judge her by something you think she did wrong because you're disagreeing with her take on politic

Rest Mr judge";politic
50;['1625632871204487170'];1625632871204487168;"@elonmusk How about a topics of interest section search.   We see tweets on topics.   Like sports movies arts politic conservative &amp; liberal.";politic
51;['1625632587585560576'];1625632587585560576;@LI_politic_guy Why not message @Metacybertech__ he works with binance support team for recovery and I'm sure he can help you out;politic
52;['1625632533437370368'];1625632533437370368;"@TTAlwaysWins @brobson_politic @HumanHeadline I just showed you the evidence🤦

Name one study that shows vaccination increases the CFR of Covid infection. Just one👍";politic
53;['1625632316256055297'];1625632316256055296;RT @finess3nce: love as a feeling, love as an action, love and care as a politic i mean whew. mm!! lay it on me!;politic
54;['1625631044568334355'];1625631044568334336;RT @DiscardedVirtue: @RepErinHealy You are a stage four metastatic cancer on our body politic. The family unit is what built this nation, a…;politic
